Status=1
Mar-13,42.242,-73.527,1,42.380,-73.384,1,42.426,-73.343,1,42.610,-73.281,1,42.410,-73.240,1,42.549,-73.219,1,42.441,-73.219,1,42.395,-73.178,1,42.380,-73.178,1,42.165,-73.137,1,42.932,-72.932,1,42.134,-72.604,1,42.119,-72.604,2,42.104,-72.604,1,42.441,-72.029,1,42.334,-71.947,1,42.318,-71.906,1,42.395,-71.886,1,42.196,-71.865,1,42.303,-71.804,2,42.472,-71.783,1,42.656,-71.640,1,42.549,-71.619,2,42.503,-71.619,1,42.625,-71.599,1,42.963,-71.558,1,42.963,-71.537,2,42.518,-71.537,1,42.426,-71.537,1,42.595,-71.517,1,42.288,-71.517,1,42.687,-71.496,1,42.579,-71.496,1,42.702,-71.455,1,42.610,-71.455,1,42.318,-71.455,1,42.625,-71.434,1,42.610,-71.434,1,42.579,-71.434,1,42.641,-71.414,1,42.595,-71.414,1,42.579,-71.414,1,42.549,-71.414,1,42.518,-71.414,1,42.702,-71.393,1,42.549,-71.393,1,42.610,-71.373,1,42.564,-71.373,1,42.549,-71.373,1,42.518,-71.373,1,42.395,-71.373,1,42.318,-71.373,1,42.196,-71.373,1,42.180,-71.373,1,42.088,-71.373,1,42.579,-71.352,1,42.564,-71.352,4,42.549,-71.352,1,42.134,-71.352,1,42.671,-71.332,1,42.610,-71.332,1,42.595,-71.332,1,42.579,-71.332,1,42.564,-71.332,4,42.549,-71.332,1,42.518,-71.332,1,42.119,-71.332,1,42.088,-71.332,1,42.610,-71.311,1,42.595,-71.311,1,42.579,-71.311,2,42.441,-71.311,1,42.364,-71.311,1,42.119,-71.311,1,42.088,-71.311,2,42.564,-71.291,2,42.549,-71.291,1,42.518,-71.291,1,42.119,-71.291,5,42.104,-71.291,3,42.088,-71.291,1,42.073,-71.291,1,42.027,-71.291,1,42.610,-71.270,1,42.487,-71.270,1,42.441,-71.270,1,42.134,-71.270,1,42.119,-71.270,2,42.073,-71.270,1,42.917,-71.250,1,42.702,-71.250,2,42.641,-71.250,1,42.610,-71.250,1,42.564,-71.250,2,42.549,-71.250,1,42.533,-71.250,1,42.457,-71.250,1,42.165,-71.250,1,42.134,-71.250,1,42.119,-71.250,4,41.751,-71.250,1,41.689,-71.250,1,42.717,-71.229,3,42.579,-71.229,1,42.549,-71.229,1,42.349,-71.229,1,42.134,-71.229,1,41.766,-71.229,1,42.595,-71.209,1,42.549,-71.209,1,42.533,-71.209,1,42.441,-71.209,1,42.150,-71.209,1,42.503,-71.188,1,42.257,-71.188,1,42.150,-71.188,1,42.104,-71.188,1,42.088,-71.188,1,42.073,-71.188,1,41.474,-71.188,2,42.779,-71.168,1,42.564,-71.168,1,42.426,-71.168,2,42.303,-71.168,1,42.150,-71.168,1,42.104,-71.168,1,42.395,-71.147,1,42.364,-71.147,1,42.334,-71.147,1,42.318,-71.147,1,42.395,-71.127,1,42.380,-71.127,1,42.364,-71.127,3,42.349,-71.127,1,41.781,-71.127,1,42.687,-71.106,1,42.579,-71.106,1,42.364,-71.106,1,42.349,-71.106,1,42.196,-71.106,1,42.426,-71.086,1,42.395,-71.086,1,42.380,-71.086,4,42.288,-71.086,1,42.426,-71.065,1,42.410,-71.065,1,42.364,-71.065,1,42.318,-71.065,1,42.364,-71.045,1,41.843,-71.045,1,42.457,-71.024,1,42.349,-71.024,1,41.873,-71.004,1,42.717,-70.983,2,42.687,-70.983,1,41.904,-70.963,1,42.487,-70.942,4,41.889,-70.942,1,41.873,-70.942,1,42.518,-70.901,1,41.965,-70.798,1,41.919,-70.778,1,41.720,-70.142,1
Mar-14,42.380,-73.384,2,42.364,-73.384,1,42.610,-73.301,1,42.549,-73.219,1,42.134,-72.604,1,42.119,-72.604,2,42.104,-72.604,1,42.334,-71.947,1,42.318,-71.927,2,42.303,-71.927,1,42.318,-71.906,1,42.395,-71.886,1,42.303,-71.845,1,42.334,-71.824,1,42.303,-71.804,4,42.472,-71.783,1,42.595,-71.640,1,42.625,-71.599,1,42.625,-71.578,1,42.963,-71.558,1,42.963,-71.537,2,42.687,-71.537,1,42.518,-71.537,1,42.595,-71.517,1,42.503,-71.517,1,42.318,-71.517,1,42.671,-71.496,1,41.628,-71.475,1,42.610,-71.455,1,42.625,-71.434,1,42.610,-71.434,1,42.579,-71.434,2,42.549,-71.434,1,42.564,-71.414,1,42.549,-71.414,2,42.472,-71.414,1,42.364,-71.414,2,42.150,-71.414,1,42.472,-71.393,1,42.457,-71.393,1,42.441,-71.373,1,42.318,-71.373,1,42.303,-71.373,1,42.196,-71.373,2,42.180,-71.373,1,42.595,-71.352,1,42.579,-71.352,2,42.564,-71.352,3,42.549,-71.352,4,42.564,-71.332,1,42.549,-71.332,1,42.518,-71.332,1,42.104,-71.332,1,42.595,-71.311,2,42.579,-71.311,3,42.364,-71.291,1,42.119,-71.291,1,42.104,-71.291,3,42.088,-71.291,1,42.073,-71.291,1,42.641,-71.270,1,42.610,-71.270,1,42.503,-71.270,1,42.487,-71.270,1,42.134,-71.270,1,42.073,-71.270,2,42.641,-71.250,2,42.610,-71.250,1,42.119,-71.250,4,41.751,-71.250,1,41.689,-71.250,1,42.717,-71.229,5,42.625,-71.229,1,42.579,-71.229,1,41.766,-71.229,1,41.751,-71.229,2,42.549,-71.209,1,42.441,-71.209,1,42.426,-71.209,1,42.150,-71.209,1,42.150,-71.188,1,42.104,-71.188,1,42.088,-71.188,1,41.474,-71.188,2,42.150,-71.168,2,41.613,-71.168,1,42.610,-71.147,1,42.410,-71.147,2,42.196,-71.147,1,42.625,-71.127,1,42.503,-71.127,1,42.395,-71.127,1,41.781,-71.127,1,41.613,-71.127,1,42.641,-71.106,1,42.426,-71.106,1,42.395,-71.106,1,42.364,-71.106,1,42.349,-71.106,1,42.395,-71.086,1,42.380,-71.086,1,41.674,-71.086,1,42.426,-71.065,1,42.410,-71.065,1,42.364,-71.065,1,42.687,-71.045,1,42.364,-71.045,1,41.843,-71.045,1,42.441,-71.024,1,41.843,-71.024,3,42.671,-71.004,1,41.873,-71.004,1,42.717,-70.983,4,42.702,-70.983,1,42.671,-70.983,1,42.656,-70.963,1,42.487,-70.963,1,41.904,-70.963,2,42.503,-70.942,1,42.487,-70.942,4,41.889,-70.942,1,41.873,-70.942,1,42.671,-70.819,1,42.625,-70.798,1,41.981,-70.798,1,41.965,-70.798,1,41.919,-70.778,1,41.950,-70.696,2,41.720,-70.142,2
Status=2
Mar-15
Mar-16,42.380,-73.384,2,42.364,-73.384,1,42.610,-73.301,2,42.549,-73.219,2,42.426,-73.219,3,42.364,-73.178,1,42.303,-73.178,1,42.364,-72.604,2,42.134,-72.604,1,42.119,-72.604,2,42.104,-72.604,2,42.104,-72.501,1,42.779,-72.419,1,42.917,-72.296,1,42.503,-72.029,1,42.794,-71.947,1,42.779,-71.947,1,42.334,-71.947,1,42.318,-71.927,2,42.303,-71.927,1,42.641,-71.906,1,42.318,-71.906,1,42.395,-71.886,1,42.318,-71.845,1,42.303,-71.845,1,42.288,-71.845,1,42.334,-71.824,1,42.318,-71.824,1,42.318,-71.804,1,42.303,-71.804,6,42.472,-71.783,2,42.349,-71.640,1,42.318,-71.640,2,42.748,-71.619,2,42.641,-71.619,1,42.641,-71.599,1,42.625,-71.599,1,42.625,-71.578,1,42.334,-71.578,1,42.963,-71.558,1,42.334,-71.558,1,42.963,-71.537,3,42.687,-71.537,2,42.671,-71.537,1,42.518,-71.537,1,42.595,-71.517,2,42.318,-71.517,2,42.671,-71.496,1,41.628,-71.475,1,42.733,-71.455,4,42.610,-71.455,1,41.643,-71.455,3,42.625,-71.434,1,42.610,-71.434,1,42.595,-71.434,1,42.579,-71.434,3,42.549,-71.434,1,42.595,-71.414,3,42.579,-71.414,1,42.549,-71.414,2,42.472,-71.414,1,42.364,-71.414,2,42.349,-71.414,1,42.180,-71.414,1,42.150,-71.414,1,42.088,-71.414,1,42.487,-71.393,1,42.472,-71.393,4,42.457,-71.393,1,42.410,-71.393,1,42.641,-71.373,1,42.579,-71.373,2,42.457,-71.373,1,42.441,-71.373,2,42.318,-71.373,1,42.196,-71.373,3,42.180,-71.373,2,42.595,-71.352,1,42.579,-71.352,3,42.564,-71.352,3,42.549,-71.352,5,42.610,-71.332,1,42.564,-71.332,4,42.549,-71.332,3,42.457,-71.332,1,42.104,-71.332,1,42.610,-71.311,2,42.595,-71.311,3,42.579,-71.311,3,42.395,-71.311,1,42.119,-71.311,2,42.104,-71.311,1,42.088,-71.311,2,42.579,-71.291,1,42.533,-71.291,1,42.272,-71.291,1,42.134,-71.291,1,42.119,-71.291,9,42.104,-71.291,5,42.088,-71.291,3,42.073,-71.291,1,42.656,-71.270,2,42.641,-71.270,1,42.610,-71.270,1,42.564,-71.270,1,42.549,-71.270,1,42.487,-71.270,1,42.150,-71.270,1,42.134,-71.270,2,42.119,-71.270,1,42.073,-71.270,1,41.781,-71.270,1,42.641,-71.250,2,42.610,-71.250,2,42.518,-71.250,2,42.334,-71.250,2,42.303,-71.250,1,42.119,-71.250,3,41.751,-71.250,2,41.689,-71.250,1,42.717,-71.229,5,42.625,-71.229,1,42.610,-71.229,1,42.579,-71.229,1,42.518,-71.229,1,42.380,-71.229,1,41.766,-71.229,1,41.751,-71.229,3,42.641,-71.209,1,42.564,-71.209,2,42.549,-71.209,5,42.441,-71.209,3,42.426,-71.209,1,42.364,-71.209,1,42.349,-71.209,1,42.150,-71.209,1,42.150,-71.188,1,42.104,-71.188,2,42.088,-71.188,1,41.474,-71.188,2,41.459,-71.188,1,42.702,-71.168,1,42.165,-71.168,1,42.150,-71.168,3,41.613,-71.168,1,42.610,-71.147,1,42.410,-71.147,2,42.211,-71.147,1,42.196,-71.147,4,41.628,-71.147,1,41.613,-71.147,1,42.625,-71.127,2,42.503,-71.127,6,42.426,-71.127,1,42.395,-71.127,3,42.364,-71.127,2,42.349,-71.127,1,41.781,-71.127,1,41.613,-71.127,1,42.641,-71.106,1,42.595,-71.106,1,42.426,-71.106,1,42.410,-71.106,3,42.395,-71.106,1,42.364,-71.106,1,42.349,-71.106,1,42.334,-71.106,1,42.318,-71.106,1,42.303,-71.106,1,42.426,-71.086,1,42.410,-71.086,1,42.395,-71.086,5,42.380,-71.086,4,42.364,-71.086,8,42.272,-71.086,1,42.426,-71.065,2,42.410,-71.065,1,42.380,-71.065,2,42.364,-71.065,4,42.349,-71.065,1,42.748,-71.045,1,42.717,-71.045,2,42.687,-71.045,1,42.656,-71.045,1,42.380,-71.045,1,42.364,-71.045,1,42.303,-71.045,2,41.843,-71.045,1,42.763,-71.024,1,42.733,-71.024,2,42.441,-71.024,1,41.843,-71.024,4,42.809,-71.004,2,42.671,-71.004,2,41.873,-71.004,1,42.794,-70.983,1,42.717,-70.983,5,42.702,-70.983,2,42.395,-70.983,1,42.226,-70.983,2,42.656,-70.963,2,42.487,-70.963,1,41.904,-70.963,2,42.503,-70.942,1,42.487,-70.942,4,41.889,-70.942,3,41.873,-70.942,1,42.472,-70.922,1,41.812,-70.922,1,42.487,-70.901,2,42.809,-70.860,1,41.751,-70.860,1,41.965,-70.819,1,41.981,-70.798,2,41.965,-70.798,1,41.950,-70.798,1,41.935,-70.798,1,41.950,-70.778,1,41.919,-70.778,1,41.950,-70.696,2,41.935,-70.675,2,41.674,-70.429,2,41.705,-70.224,1,41.659,-70.162,1,41.720,-70.142,1,41.705,-70.121,1
